group,tail,info,model,N,breach,breach_pass,gate_pass,q_loss,fz_loss,severity
Benchmark,Left,Target history,care_expectile_asymmetric_slope,627,0.07815,False,False,0.00144,-3.621661,0.007879
Benchmark,Left,Target history,care_expectile_sav,620,0.067742,True,True,0.001456,-3.607506,0.008946
Benchmark,Left,Target history,caviar_asymmetric_slope,508,0.070866,True,True,0.001564,-3.532426,0.00941
Benchmark,Left,Target history,caviar_sav,498,0.058233,True,True,0.001568,-3.54007,0.011676
Benchmark,Left,Target history,ewma_vol_scaled,722,0.052632,True,True,0.001409,-3.647462,0.008636
Benchmark,Left,Target history,garch_t,722,0.060942,True,True,0.001368,-3.701083,0.008609
Benchmark,Left,Target history,gas_t_location_scale,722,0.063712,True,True,0.001352,-3.693506,0.00867
Benchmark,Left,Target history,gas_t_pot_gpd,223,0.044843,True,False,0.001277,-3.789288,0.006754
Benchmark,Left,Target history,gjr_garch_evt,722,0.060942,True,True,0.00133,-3.746233,0.007631
Benchmark,Left,Target history,gjr_garch_t,722,0.070637,True,True,0.001338,-3.723459,0.007359
Benchmark,Left,Target history,historical_quantile,722,0.055402,True,True,0.001476,-3.540661,0.01214
Benchmark,Left,Target history,rolling_quantile,722,0.058172,True,True,0.001481,-3.524684,0.011683
Benchmark,Right,Target history,care_expectile_asymmetric_slope,679,0.079529,False,False,0.001327,-3.531389,0.00867
Benchmark,Right,Target history,care_expectile_sav,679,0.08542,False,False,0.001372,-3.474738,0.008198
Benchmark,Right,Target history,caviar_asymmetric_slope,504,0.06746,True,True,0.001494,-3.466189,0.01072
Benchmark,Right,Target history,caviar_sav,504,0.063492,True,True,0.001558,-3.407822,0.011629
Benchmark,Right,Target history,ewma_vol_scaled,722,0.045706,True,True,0.001342,-3.656615,0.009787
Benchmark,Right,Target history,garch_t,722,0.041551,True,True,0.001278,-3.703374,0.010888
Benchmark,Right,Target history,gas_t_location_scale,722,0.049861,True,True,0.001307,-3.668339,0.010514
Benchmark,Right,Target history,gas_t_pot_gpd,223,0.085202,False,False,0.001785,-3.033734,0.012794
Benchmark,Right,Target history,gjr_garch_evt,722,0.058172,True,True,0.001233,-3.708574,0.008988
Benchmark,Right,Target history,gjr_garch_t,722,0.042936,True,True,0.001222,-3.739711,0.010272
Benchmark,Right,Target history,historical_quantile,722,0.069252,True,True,0.001502,-3.406776,0.012003
Benchmark,Right,Target history,rolling_quantile,722,0.072022,True,True,0.001496,-3.427318,0.01148
LGBM,Left,JP only,LGBM direct quantile,554,0.086643,False,False,0.001426,-3.490618,0.008358
LGBM,Left,JP + US close core,LGBM direct quantile,554,0.108303,False,False,0.001157,-3.647341,0.006242
LGBM,Left,JP + US close core + JP proxy,LGBM direct quantile,527,0.106262,False,False,0.001113,-3.831055,0.006061
LGBM,Left,JP + US close core + JP proxy + Asia proxy,LGBM direct quantile,527,0.106262,False,False,0.001118,-3.816457,0.00615
LGBM,Left,JP only,LGBM location-scale empirical,508,0.061024,True,True,0.001539,-3.476895,0.008976
LGBM,Left,JP + US close core,LGBM location-scale empirical,506,0.071146,True,True,0.000999,-4.188884,0.005292
LGBM,Left,JP + US close core + JP proxy,LGBM location-scale empirical,490,0.04898,True,True,0.000935,-4.248758,0.006063
LGBM,Left,JP + US close core + JP proxy + Asia proxy,LGBM location-scale empirical,488,0.043033,True,True,0.000914,-4.358382,0.006897
LGBM,Left,JP only,LGBM median/IQR POT-GPD plain MLE,554,0.037906,True,True,0.001371,-3.697803,0.010578
LGBM,Left,JP + US close core,LGBM median/IQR POT-GPD plain MLE,554,0.048736,True,True,0.000989,-4.0406,0.007472
LGBM,Left,JP + US close core + JP proxy,LGBM median/IQR POT-GPD plain MLE,527,0.045541,True,True,0.000917,-4.197671,0.006401
LGBM,Left,JP + US close core + JP proxy + Asia proxy,LGBM median/IQR POT-GPD plain MLE,526,0.053232,True,True,0.000935,-4.170277,0.006113
LGBM,Left,JP only,LGBM median/IQR POT-GPD UniBM block-maxima shape,554,0.039711,True,True,0.001374,-3.694341,0.010116
LGBM,Left,JP + US close core,LGBM median/IQR POT-GPD UniBM block-maxima shape,554,0.050542,True,True,0.000994,-4.048466,0.00742
LGBM,Left,JP + US close core + JP proxy,LGBM median/IQR POT-GPD UniBM block-maxima shape,527,0.043643,True,True,0.000916,-4.190023,0.006574
LGBM,Left,JP + US close core + JP proxy + Asia proxy,LGBM median/IQR POT-GPD UniBM block-maxima shape,526,0.055133,True,True,0.000935,-4.160093,0.00603
LGBM,Left,JP only,LGBM median/MAD POT-GPD plain MLE,484,0.061983,True,True,0.001497,-3.590085,0.009689
LGBM,Left,JP + US close core,LGBM median/MAD POT-GPD plain MLE,484,0.066116,True,True,0.001082,-4.102446,0.008093
LGBM,Left,JP + US close core + JP proxy,LGBM median/MAD POT-GPD plain MLE,474,0.07384,True,True,0.001004,-4.203058,0.006537
LGBM,Left,JP + US close core + JP proxy + Asia proxy,LGBM median/MAD POT-GPD plain MLE,473,0.067653,True,True,0.001004,-4.176898,0.007052
LGBM,Left,JP only,LGBM median/MAD POT-GPD UniBM block-maxima shape,484,0.061983,True,True,0.0015,-3.59459,0.009727
LGBM,Left,JP + US close core,LGBM median/MAD POT-GPD UniBM block-maxima shape,484,0.07438,True,True,0.001088,-4.083348,0.007429
LGBM,Left,JP + US close core + JP proxy,LGBM median/MAD POT-GPD UniBM block-maxima shape,474,0.078059,False,False,0.001015,-4.220439,0.006448
LGBM,Left,JP + US close core + JP proxy + Asia proxy,LGBM median/MAD POT-GPD UniBM block-maxima shape,473,0.07611,False,False,0.001012,-4.153909,0.006521
LGBM,Left,JP only,LGBM POT-GPD plain MLE,484,0.06405,True,True,0.001553,-3.46639,0.008741
LGBM,Left,JP + US close core,LGBM POT-GPD plain MLE,483,0.070393,True,True,0.00102,-4.129963,0.005521
LGBM,Left,JP + US close core + JP proxy,LGBM POT-GPD plain MLE,472,0.050847,True,True,0.000941,-4.274489,0.005877
LGBM,Left,JP + US close core + JP proxy + Asia proxy,LGBM POT-GPD plain MLE,469,0.044776,True,True,0.000934,-4.218722,0.006926
LGBM,Left,JP only,LGBM POT-GPD UniBM block-maxima shape,484,0.061983,True,True,0.001552,-3.470659,0.008986
LGBM,Left,JP + US close core,LGBM POT-GPD UniBM block-maxima shape,484,0.070248,True,True,0.001025,-4.109492,0.005719
LGBM,Left,JP + US close core + JP proxy,LGBM POT-GPD UniBM block-maxima shape,472,0.055085,True,True,0.00094,-4.286679,0.005645
LGBM,Left,JP + US close core + JP proxy + Asia proxy,LGBM POT-GPD UniBM block-maxima shape,469,0.049041,True,True,0.000934,-4.257927,0.006381
LGBM,Right,JP only,LGBM direct quantile,554,0.086643,False,False,0.001272,-3.565956,0.007723
LGBM,Right,JP + US close core,LGBM direct quantile,554,0.106498,False,False,0.001213,-3.550057,0.007115
LGBM,Right,JP + US close core + JP proxy,LGBM direct quantile,527,0.12334,False,False,0.001215,-3.568934,0.006113
LGBM,Right,JP + US close core + JP proxy + Asia proxy,LGBM direct quantile,527,0.12334,False,False,0.001206,-3.585569,0.006019
LGBM,Right,JP only,LGBM location-scale empirical,508,0.045276,True,True,0.001391,-3.537918,0.009275
